Block Number,Time,,,,,,,,,,,,
1572527854571900 ,29688, nilfs2,,,,,,,,,,,
1572527854574850 ,30328, nilfs2,,,,,,,,,,,
1572527854577280 ,30944, nilfs2,,,,,,,,,,,
1572527854580230 ,31560, nilfs2,,,,,,,,,,,
1572527854581370 ,31720, nilfs2,,,,,,,,,,,
1572527854583660 ,32336, nilfs2,,,,,,,,,,,
1572527854583810 ,32768, nilfs2,,,,,,,,,,,
1572527854598450 ,32960, nilfs2,,,,,,,,,,,
1572527854606250 ,33072, nilfs2,,,,,,,,,,,
1572527854608640 ,33712, nilfs2,,,,,,,,,,,
1572527854610760 ,34328, nilfs2,,,,,,,,,,,
1572527854612960 ,34944, nilfs2,,,,,,,,,,,
1572527854614700 ,35176, nilfs2,,,,,,,,,,,
1572527854616460 ,35792, nilfs2,,,,,,,,,,,
1572527854630950 ,36408, nilfs2,,,,,,,,,,,
1572527854636130 ,36520, nilfs2,,,,,,,,,,,
1572527854639410 ,37160, nilfs2,,,,,,,,,,,
1572527854645160 ,37776, nilfs2,,,,,,,,,,,
1572527854647530 ,38392, nilfs2,,,,,,,,,,,
1572527854649120 ,38752, nilfs2,,,,,,,,,,,
1572527854652460 ,39368, nilfs2,,,,,,,,,,,
1572527854670750 ,39984, nilfs2,,,,,,,,,,,
1572527854676510 ,40104, nilfs2,,,,,,,,,,,
1572527854678980 ,40736, nilfs2,,,,,,,,,,,
1572527854681560 ,41352, nilfs2,,,,,,,,,,,
1572527854684130 ,41968, nilfs2,,,,,,,,,,,
1572527854686220 ,42584, nilfs2,,,,,,,,,,,
1572527854688780 ,43208, nilfs2,,,,,,,,,,,
1572527854708330 ,43832, nilfs2,,,,,,,,,,,
1572527854713800 ,43952, nilfs2,,,,,,,,,,,
1572527854717760 ,45112, nilfs2,,,,,,,,,,,
1572527854722010 ,46256, nilfs2,,,,,,,,,,,
1572527854725860 ,47400, nilfs2,,,,,,,,,,,
1572527854727870 ,47520, nilfs2,,,,,,,,,,,
1572527854730520 ,48664, nilfs2,,,,,,,,,,,
1572527854730900 ,49152, nilfs2,,,,,,,,,,,
1572527854751070 ,49824, nilfs2,,,,,,,,,,,
1572527854751170 ,399992, nilfs2,,,,,,,,,,,
1572527854757260 ,49960, nilfs2,,,,,,,,,,,
1572527854761440 ,51120, nilfs2,,,,,,,,,,,
1572527854765930 ,52264, nilfs2,,,,,,,,,,,
1572527854771340 ,53408, nilfs2,,,,,,,,,,,
1572527854774010 ,53536, nilfs2,,,,,,,,,,,
1572527854777470 ,54680, nilfs2,,,,,,,,,,,
1572527854793440 ,55824, nilfs2,,,,,,,,,,,
1572527854800520 ,55952, nilfs2,,,,,,,,,,,
1572527854806540 ,57112, nilfs2,,,,,,,,,,,
1572527854810620 ,58256, nilfs2,,,,,,,,,,,
1572527854813810 ,59400, nilfs2,,,,,,,,,,,
1572527854816530 ,59552, nilfs2,,,,,,,,,,,
1572527854819810 ,60704, nilfs2,,,,,,,,,,,
1572527854857350 ,61848, nilfs2,,,,,,,,,,,
1572527854862990 ,61976, nilfs2,,,,,,,,,,,
1572527854866480 ,63136, nilfs2,,,,,,,,,,,
1572527854870150 ,64280, nilfs2,,,,,,,,,,,
1572527854874240 ,65424, nilfs2,,,,,,,,,,,
1572527854874250 ,65536, nilfs2,,,,,,,,,,,
1572527854877970 ,65608, nilfs2,,,,,,,,,,,
1572527854881510 ,66752, nilfs2,,,,,,,,,,,
1572527854897460 ,67896, nilfs2,,,,,,,,,,,
1572527854908730 ,68024, nilfs2,,,,,,,,,,,
1572527854912720 ,69184, nilfs2,,,,,,,,,,,
1572527854916630 ,70328, nilfs2,,,,,,,,,,,
1572527854919270 ,71472, nilfs2,,,,,,,,,,,
1572527854922140 ,71712, nilfs2,,,,,,,,,,,
1572527854926120 ,72856, nilfs2,,,,,,,,,,,
1572527854943770 ,74000, nilfs2,,,,,,,,,,,
1572527854949070 ,74128, nilfs2,,,,,,,,,,,
1572527854954020 ,75288, nilfs2,,,,,,,,,,,
1572527854968780 ,76432, nilfs2,,,,,,,,,,,
1572527854974010 ,77576, nilfs2,,,,,,,,,,,
1572527854976950 ,77952, nilfs2,,,,,,,,,,,
1572527854980410 ,79096, nilfs2,,,,,,,,,,,
1572527854998080 ,80240, nilfs2,,,,,,,,,,,
1572527855015410 ,80376, nilfs2,,,,,,,,,,,
1572527855018610 ,81536, nilfs2,,,,,,,,,,,
1572527855018970 ,81920, nilfs2,,,,,,,,,,,
1572527855022790 ,82696, nilfs2,,,,,,,,,,,
1572527855026550 ,83840, nilfs2,,,,,,,,,,,
1572527855029880 ,84464, nilfs2,,,,,,,,,,,
1572527855033380 ,85608, nilfs2,,,,,,,,,,,
1572527855051360 ,86752, nilfs2,,,,,,,,,,,
1572527855051540 ,399992, nilfs2,,,,,,,,,,,
1572527855058870 ,86880, nilfs2,,,,,,,,,,,
1572527855063410 ,88040, nilfs2,,,,,,,,,,,
1572527855067110 ,89184, nilfs2,,,,,,,,,,,
1572527855073830 ,90328, nilfs2,,,,,,,,,,,
1572527855078900 ,91472, nilfs2,,,,,,,,,,,
1572527855088700 ,92616, nilfs2,,,,,,,,,,,
1572527855104460 ,93760, nilfs2,,,,,,,,,,,
1572527855113800 ,93888, nilfs2,,,,,,,,,,,
1572527855113830 ,95936, nilfs2,,,,,,,,,,,
1572527855120070 ,96096, nilfs2,,,,,,,,,,,
1572527855120100 ,98144, nilfs2,,,,,,,,,,,
1572527855127070 ,98304, nilfs2,,,,,,,,,,,
1572527855127100 ,100352, nilfs2,,,,,,,,,,,
1572527855132590 ,100504, nilfs2,,,,,,,,,,,
1572527855135320 ,100624, nilfs2,,,,,,,,,,,
1572527855135360 ,102672, nilfs2,,,,,,,,,,,
1572527855142510 ,102824, nilfs2,,,,,,,,,,,
1572527855142540 ,104872, nilfs2,,,,,,,,,,,
1572527855161210 ,105024, nilfs2,,,,,,,,,,,
1572527855167940 ,105160, nilfs2,,,,,,,,,,,
1572527855167970 ,107208, nilfs2,,,,,,,,,,,
1572527855175710 ,107376, nilfs2,,,,,,,,,,,
1572527855175740 ,109424, nilfs2,,,,,,,,,,,
1572527855183270 ,109584, nilfs2,,,,,,,,,,,
1572527855183300 ,111632, nilfs2,,,,,,,,,,,
1572527855188440 ,111784, nilfs2,,,,,,,,,,,
1572527855191560 ,111912, nilfs2,,,,,,,,,,,
1572527855191590 ,113960, nilfs2,,,,,,,,,,,
1572527855197090 ,114112, nilfs2,,,,,,,,,,,
1572527855197840 ,114688, nilfs2,,,,,,,,,,,
1572527855219000 ,116312, nilfs2,,,,,,,,,,,
1572527855219270 ,399992, nilfs2,,,,,,,,,,,
1572527855227220 ,116448, nilfs2,,,,,,,,,,,
1572527855227250 ,118496, nilfs2,,,,,,,,,,,
1572527855274900 ,118664, nilfs2,,,,,,,,,,,
1572527855274950 ,120712, nilfs2,,,,,,,,,,,
1572527855281540 ,120872, nilfs2,,,,,,,,,,,
1572527855281570 ,122920, nilfs2,,,,,,,,,,,
1572527855287490 ,123072, nilfs2,,,,,,,,,,,
1572527855290690 ,123216, nilfs2,,,,,,,,,,,
1572527855290720 ,125264, nilfs2,,,,,,,,,,,
1572527855296690 ,125416, nilfs2,,,,,,,,,,,
1572527855296720 ,127464, nilfs2,,,,,,,,,,,
1572527855316380 ,127616, nilfs2,,,,,,,,,,,
1572527855323480 ,127760, nilfs2,,,,,,,,,,,
1572527855323510 ,129808, nilfs2,,,,,,,,,,,
1572527855328560 ,129968, nilfs2,,,,,,,,,,,
1572527855329080 ,131072, nilfs2,,,,,,,,,,,
1572527855339200 ,132168, nilfs2,,,,,,,,,,,
1572527855339990 ,134216, nilfs2,,,,,,,,,,,
1572527855347080 ,134368, nilfs2,,,,,,,,,,,
1572527855349820 ,134544, nilfs2,,,,,,,,,,,
1572527855350110 ,136592, nilfs2,,,,,,,,,,,
1572527855393540 ,136744, nilfs2,,,,,,,,,,,
1572527855393820 ,138792, nilfs2,,,,,,,,,,,
1572527855412690 ,138944, nilfs2,,,,,,,,,,,
1572527855412980 ,399992, nilfs2,,,,,,,,,,,
1572527855419470 ,139080, nilfs2,,,,,,,,,,,
1572527855420390 ,141128, nilfs2,,,,,,,,,,,
1572527855426560 ,141288, nilfs2,,,,,,,,,,,
1572527855426830 ,143336, nilfs2,,,,,,,,,,,
1572527855432250 ,143488, nilfs2,,,,,,,,,,,
1572527855432510 ,145536, nilfs2,,,,,,,,,,,
1572527855439300 ,145688, nilfs2,,,,,,,,,,,
1572527855443050 ,145928, nilfs2,,,,,,,,,,,
1572527855443570 ,147456, nilfs2,,,,,,,,,,,
1572527855448940 ,148128, nilfs2,,,,,,,,,,,
1572527855449210 ,150176, nilfs2,,,,,,,,,,,
1572527855466670 ,150328, nilfs2,,,,,,,,,,,
1572527855480570 ,150472, nilfs2,,,,,,,,,,,
1572527855480840 ,152520, nilfs2,,,,,,,,,,,
1572527855487220 ,152696, nilfs2,,,,,,,,,,,
1572527855488670 ,154744, nilfs2,,,,,,,,,,,
1572527855495290 ,154904, nilfs2,,,,,,,,,,,
1572527855495590 ,156952, nilfs2,,,,,,,,,,,
1572527855506300 ,157112, nilfs2,,,,,,,,,,,
1572527855511010 ,157472, nilfs2,,,,,,,,,,,
1572527855511320 ,159520, nilfs2,,,,,,,,,,,
1572527855518260 ,159688, nilfs2,,,,,,,,,,,
1572527855518530 ,161736, nilfs2,,,,,,,,,,,
1572527855534670 ,161896, nilfs2,,,,,,,,,,,
1572527855544150 ,162040, nilfs2,,,,,,,,,,,
1572527855544560 ,163840, nilfs2,,,,,,,,,,,
1572527855575100 ,164240, nilfs2,,,,,,,,,,,
1572527855575380 ,166288, nilfs2,,,,,,,,,,,
1572527855582370 ,166432, nilfs2,,,,,,,,,,,
1572527855582640 ,168480, nilfs2,,,,,,,,,,,
1572527855588910 ,168624, nilfs2,,,,,,,,,,,
1572527855593550 ,169240, nilfs2,,,,,,,,,,,
1572527855593820 ,171288, nilfs2,,,,,,,,,,,
1572527855620400 ,171432, nilfs2,,,,,,,,,,,
1572527855620740 ,173480, nilfs2,,,,,,,,,,,
1572527855638110 ,173624, nilfs2,,,,,,,,,,,
1572527855638260 ,399992, nilfs2,,,,,,,,,,,
1572527855645280 ,173768, nilfs2,,,,,,,,,,,
1572527855645580 ,175816, nilfs2,,,,,,,,,,,
1572527855651610 ,175976, nilfs2,,,,,,,,,,,
1572527855652060 ,178024, nilfs2,,,,,,,,,,,
1572527855662610 ,178168, nilfs2,,,,,,,,,,,
1572527855662890 ,180216, nilfs2,,,,,,,,,,,
1572527855662970 ,180224, nilfs2,,,,,,,,,,,
1572527855670810 ,180368, nilfs2,,,,,,,,,,,
1572527855677180 ,181512, nilfs2,,,,,,,,,,,
1572527855677570 ,183560, nilfs2,,,,,,,,,,,
1572527855684800 ,183704, nilfs2,,,,,,,,,,,
1572527855684890 ,185752, nilfs2,,,,,,,,,,,
1572527855719230 ,185896, nilfs2,,,,,,,,,,,
1572527855727600 ,186032, nilfs2,,,,,,,,,,,
1572527855727630 ,188080, nilfs2,,,,,,,,,,,
1572527855733380 ,188232, nilfs2,,,,,,,,,,,
1572527855733410 ,190280, nilfs2,,,,,,,,,,,
1572527855742360 ,190424, nilfs2,,,,,,,,,,,
1572527855742390 ,192472, nilfs2,,,,,,,,,,,
1572527855771790 ,192616, nilfs2,,,,,,,,,,,
1572527855771820 ,194664, nilfs2,,,,,,,,,,,
1572527855777670 ,194808, nilfs2,,,,,,,,,,,
1572527855777860 ,196608, nilfs2,,,,,,,,,,,
1572527855786240 ,197000, nilfs2,,,,,,,,,,,
1572527855786290 ,199048, nilfs2,,,,,,,,,,,
1572527855803840 ,199192, nilfs2,,,,,,,,,,,
1572527855804300 ,399992, nilfs2,,,,,,,,,,,
1572527855813220 ,199328, nilfs2,,,,,,,,,,,
1572527855813250 ,201376, nilfs2,,,,,,,,,,,
1572527855813270 ,203424, nilfs2,,,,,,,,,,,
1572527855846760 ,203608, nilfs2,,,,,,,,,,,
1572527855846790 ,205656, nilfs2,,,,,,,,,,,
1572527855846810 ,207704, nilfs2,,,,,,,,,,,
1572527855859610 ,207896, nilfs2,,,,,,,,,,,
1572527855859640 ,209944, nilfs2,,,,,,,,,,,
1572527855859660 ,211992, nilfs2,,,,,,,,,,,
1572527855868990 ,212192, nilfs2,,,,,,,,,,,
1572527855871520 ,212304, nilfs2,,,,,,,,,,,
1572527855873180 ,212992, nilfs2,,,,,,,,,,,
1572527855873210 ,215040, nilfs2,,,,,,,,,,,
1572527860897770 ,216592, nilfs2,,,,,,,,,,,
